﻿date,asset_ticker,asset_type,open,high,low,close,volume,merge_date,date,RSI_14,EMA_20,EMA_200,EMA_50
2025-07-25,UUP,stock,27.25,27.2752,27.19,27.19,870998,2025-07-25,2025-07-25,48.7535,27.2023,27.7954,27.3313
2025-07-24,UUP,stock,27.1,27.135,27.0501,27.13,895141,2025-07-24,2025-07-24,46.1239,27.2036,27.8015,27.3371
2025-07-23,UUP,stock,27.16,27.1776,27.0515,27.06,2129521,2025-07-23,2025-07-23,42.9527,27.2113,27.8083,27.3455
2025-07-22,UUP,stock,27.23,27.2478,27.09,27.1,1688577,2025-07-22,2025-07-22,44.3374,27.2273,27.8158,27.3572
2025-07-21,UUP,stock,27.3,27.32,27.19,27.24,2401320,2025-07-21,2025-07-21,49.5268,27.2407,27.8230,27.3677
2025-07-18,UUP,stock,27.33,27.42,27.31,27.42,910762,2025-07-18,2025-07-18,57.5714,27.2407,27.8288,27.3729
2025-07-17,UUP,stock,27.46,27.4899,27.44,27.46,1520159,2025-07-17,2025-07-17,59.5680,27.2219,27.8329,27.3710
2025-07-16,UUP,stock,27.47,27.51,27.1833,27.34,2539602,2025-07-16,2025-07-16,55.2442,27.1968,27.8367,27.3673
2025-07-15,UUP,stock,27.3,27.458,27.2949,27.44,1713345,2025-07-15,2025-07-15,60.2282,27.1817,27.8417,27.3685
2025-07-14,UUP,stock,27.25,27.3,27.22,27.29,1313450,2025-07-14,2025-07-14,54.5123,27.1545,27.8457,27.3655
2025-07-11,UUP,stock,27.19,27.235,27.155,27.22,597525,2025-07-11,2025-07-11,51.4913,27.1403,27.8513,27.3686
2025-07-10,UUP,stock,27.14,27.21,27.12,27.14,1247288,2025-07-10,2025-07-10,47.8131,27.1319,27.8576,27.3747
2025-07-09,UUP,stock,27.1,27.13,27.08,27.09,703234,2025-07-09,2025-07-09,45.4110,27.1310,27.8649,27.3843
2025-07-08,UUP,stock,27.15,27.1899,27.08,27.09,1337321,2025-07-08,2025-07-08,45.4110,27.1354,27.8726,27.3963
2025-07-07,UUP,stock,27.03,27.1399,27.02,27.07,1337763,2025-07-07,2025-07-07,44.5303,27.1401,27.8805,27.4088
2025-07-03,UUP,stock,26.95,27,26.91,26.98,1148886,2025-07-03,2025-07-03,40.5210,27.1475,27.8887,27.4226
2025-07-02,UUP,stock,26.94,26.97,26.85,26.85,774485,2025-07-02,2025-07-02,34.1356,27.1652,27.8978,27.4407
2025-07-01,UUP,stock,26.83,26.91,26.805,26.87,1503867,2025-07-01,2025-07-01,34.6672,27.1983,27.9083,27.4648
